#Lag SPDC QW_TOA PHASE
88 -0.0011372286272936087 0.0004200720204521042 -0.0004879401513173976
89 7.55469412379471e-05 0.00019252231704522597 -0.0019957811484772096
90 0.0008832476616307936 0.0012602637811300439 0.0007223247103944173
91 -0.001804880259208874 -0.0016729011444573342 0.0012949584157435467
92 0.0014933835870803887 -0.00031509373346379937 0.0021126436204026225
93 0.00025559104265594583 0.0013227855792218167 0.00041975890699375544
94 0.0013283514115104522 0.0012202655345782824 0.0004572772895392672
95 -0.0003395532105308452 0.00018752401736833746 -0.0020358123169072835
96 4.8054847898823735e-05 0.0017453991273722114 0.0016125768818303925
97 -0.0001594966562177439 -0.0007276970059229801 -0.002195853338939413
98 -0.0008271651165162061 -0.0012803349657845569 0.0014125437497527408
99 0.0011658401313729657 0.0007776719667304389 0.0012450053193946312
100 0.0002931055777675027 0.0016053801254662084 -0.0014831812841936264
