z psi1 psi2 psi3 psi4 psi5
-2.224724724724724823e+00 3.493505095054516005e+03 -6.879376061650055817e+03 1.005329494706704827e+04 1.291747397960676426e+04 1.538366838122988520e+04
-2.219719719719719819e+00 3.555228149016164025e+03 -6.996984097700068560e+03 1.021541732872557623e+04 1.310780509777289808e+04 1.558183102732702901e+04
-2.214714714714714816e+00 3.616916184383442214e+03 -7.114316456427186495e+03 1.037663413000334913e+04 1.329607047505673836e+04 1.577615676726552192e+04
-2.209709709709709813e+00 3.678568593536176650e+03 -7.231368515001007836e+03 1.053693105928915611e+04 1.348224044154142939e+04 1.596659774982502677e+04
-2.204704704704704810e+00 3.740184769205151497e+03 -7.348135661634896678e+03 1.069629390651709764e+04 1.366628565753915427e+04 1.615310708037707627e+04
-2.199699699699699806e+00 3.801764104478016634e+03 -7.464613295767532691e+03 1.085470854442606833e+04 1.384817711821469311e+04 1.633563883243216151e+04
-2.194694694694694803e+00 3.863305992805250298e+03 -7.580796828244133394e+03 1.101216092981206020e+04 1.402788615815641242e+04 1.651414805894872188e+04
-2.189689689689689800e+00 3.924809828006228145e+03 -7.696681681497461796e+03 1.116863710477336281e+04 1.420538445589417279e+04 1.668859080340140645e+04
-2.184684684684684353e+00 3.986275004275133597e+03 -7.812263289728052769e+03 1.132412319794771429e+04 1.438064403836247038e+04 1.685892411060479208e+04
-2.179679679679679349e+00 4.047700916186963241e+03 -7.927537099084182046e+03 1.147860542574210376e+04 1.455363728530901608e+04 1.702510603729089780e+04
-2.174674674674674346e+00 4.109086958703454911e+03 -8.042498567841216754e+03 1.163207009355453920e+04 1.472433693364747342e+04 1.718709566243726658e+04
-2.169669669669669343e+00 4.170432527179058525e+03 -8.157143166580573961e+03 1.178450359698811008e+04 1.489271608175403526e+04 1.734485309734350085e+04
-2.164664664664664340e+00 4.231737017366883265e+03 -8.271466378368171718e+03 1.193589242305697189e+04 1.505874819370701698e+04 1.749833949545350697e+04
-2.159659659659659336e+00 4.292999825424622031e+03 -8.385463698932324405e+03 1.208622315138413069e+04 1.522240710346868218e+04 1.764751706192102574e+04
-2.154654654654654333e+00 4.354220347920592758e+03 -8.499130636841406158e+03 1.223548245539146774e+04 1.538366701900929183e+04 1.779234906291676452e+04
-2.149649649649649330e+00 4.415397981839579188e+03 -8.612462713680601155e+03 1.238365710348077482e+04 1.554250252637142330e+04 1.793279983467333659e+04
-2.144644644644644327e+00 4.476532124588792612e+03 -8.725455464228394703e+03 1.253073396020680229e+04 1.569888859367522855e+04 1.806883479226731652e+04
-2.139639639639639324e+00 4.537622174003884538e+03 -8.838104436632658690e+03 1.267669998744191071e+04 1.585280057506360936e+04 1.820042043813582859e+04
-2.134634634634634320e+00 4.598667528354788374e+03 -8.950405192585865734e+03 1.282154224553161293e+04 1.600421421458600526e+04 1.832752437032467424e+04
-2.129629629629629317e+00 4.659667586351674800e+03 -9.062353307500015944e+03 1.296524789444175440e+04 1.615310565002114163e+04 1.845011529046719079e+04
-2.124624624624624314e+00 4.720621747150878036e+03 -9.173944370680976135e+03 1.310780419489675842e+04 1.629945141663765389e+04 1.856816301149126957e+04
-2.119619619619619311e+00 4.781529410360815746e+03 -9.285173985502255164e+03 1.324919850950895670e+04 1.644322845089201292e+04 1.868163846505267065e+04
-2.114614614614614307e+00 4.842389976047899836e+03 -9.396037769578228108e+03 1.338941830389885399e+04 1.658441409406328239e+04 1.879051370869287348e+04
-2.109609609609609304e+00 4.903202844742467278e+03 -9.506531354936827483e+03 1.352845114780633958e+04 1.672298609582407153e+04 1.889476193271978264e+04
-2.104604604604604301e+00 4.963967417444682724e+03 -9.616650388191663296e+03 1.366628471619263291e+04 1.685892261774716098e+04 1.899435746680941156e+04
-2.099599599599599298e+00 5.024683095630393836e+03 -9.726390530713424596e+03 1.380290679033270862e+04 1.699220223674694716e+04 1.908927578632678342e+04
-2.094594594594594295e+00 5.085349281257056646e+03 -9.835747458800900858e+03 1.393830525889857927e+04 1.712280394845577030e+04 1.917949351836509595e+04
-2.089589589589589291e+00 5.145965376769607246e+03 -9.944716863851284870e+03 1.407246811903289927e+04 1.725070717053405315e+04 1.926498844750103672e+04
-2.084584584584584288e+00 5.206530785106351686e+03 -1.005329445252994628e+04 1.420538347741298458e+04 1.737589174591401024e+04 1.934573952126517179e+04
-2.079579579579579285e+00 5.267044909704831298e+03 -1.016147594693954488e+04 1.433703955130511349e+04 1.749833794597628730e+04 1.942172685532590185e+04
-2.074574574574574282e+00 5.327507154507799896e+03 -1.026925708478877095e+04 1.446742466960931415e+04 1.761802647365943994e+04 1.949293173838618168e+04
-2.069569569569569278e+00 5.387916923969044547e+03 -1.037663361956020344e+04 1.459652727389385836e+04 1.773493846650092746e+04 1.955933663679088568e+04
-2.064564564564564275e+00 5.448273623059149941e+03 -1.048360132067740415e+04 1.472433591941961458e+04 1.784905549960939607e+04 1.962092519884391368e+04
-2.059559559559559272e+00 5.508576657271463773e+03 -1.059015597367180271e+04 1.485083927615490393e+04 1.796035958856877551e+04 1.967768225883510240e+04
-2.054554554554554269e+00 5.568825432627952978e+03 -1.069629338034874309e+04 1.497602612977985154e+04 1.806883319227247921e+04 1.972959384077461073e+04
-2.049549549549549265e+00 5.629019355684979018e+03 -1.080200935895276416e+04 1.509988538268037701e+04 1.817445921568764606e+04 1.977664716183418568e+04
-2.044544544544544262e+00 5.689157833539226885e+03 -1.090729974433248572e+04 1.522240605493213843e+04 1.827722101254947120e+04 1.981883063549509461e+04
-2.039539539539539259e+00 5.749240273833505853e+03 -1.101216038810467580e+04 1.534357728527383006e+04 1.837710238798450155e+04 1.985613387440109000e+04
-2.034534534534534256e+00 5.809266084762598439e+03 -1.111658715881769604e+04 1.546338833207003154e+04 1.847408760106291811e+04 1.988854769291627963e+04
-2.029529529529529253e+00 5.869234675079100271e+03 -1.122057594211430660e+04 1.558182857426346891e+04 1.856816136727927369e+04 1.991606410938701811e+04
-2.024524524524524249e+00 5.929145454099169001e+03 -1.132412264089362725e+04 1.569888751231635251e+04 1.865930886096105678e+04 1.993867634810711388e+04
-2.019519519519519246e+00 5.988997831708413287e+03 -1.142722317547269085e+04 1.581455476914133214e+04 1.874751571760535444e+04 1.995637884098651193e+04
-2.014514514514514243e+00 6.048791218367729016e+03 -1.152987348374724388e+04 1.592882009102148913e+04 1.883276803614276650e+04 1.996916722892247344e+04
-2.009509509509509240e+00 6.108525025119023667e+03 -1.163206952135160645e+04 1.604167334851906708e+04 1.891505238112786174e+04 1.997703836287270678e+04
-2.004504504504504236e+00 6.168198663591043442e+03 -1.173380726181808313e+04 1.615310453737350508e+04 1.899435578485663791e+04 1.997999030463086820e+04
-1.999499499499499233e+00 6.227811546005227683e+03 -1.183508269673572249e+04 1.626310377938847705e+04 1.907066574941039653e+04 1.997802232730403921e+04
-1.994494494494494230e+00 6.287363085181457791e+03 -1.193589183590815082e+04 1.637166132330744585e+04 1.914397024862520993e+04 1.997113491549156970e+04
-1.989489489489489227e+00 6.346852694543819780e+03 -1.203623070751076193e+04 1.647876754567804164e+04 1.921425772998714092e+04 1.995932976516567942e+04
-1.984484484484484224e+00 6.406279788126386848e+03 -1.213609535824720115e+04 1.658441295170520971e+04 1.928151711645292380e+04 1.994260978325387987e+04
-1.979479479479479220e+00 6.465643780579021040e+03 -1.223548185350518725e+04 1.668858817609294420e+04 1.934573780819570675e+04 1.992097908692324563e+04
-1.974474474474474217e+00 6.524944087173097614e+03 -1.233438627751145214e+04 1.679128398387442576e+04 1.940690968427544431e+04 1.989444300256645511e+04
-1.969469469469469214e+00 6.584180123807372183e+03 -1.243280473348621308e+04 1.689249127123096696e+04 1.946502310423424569e+04 1.986300806449053562e+04
